filepicker-4.2.1	com/nononsenseapps/filepicker
finestwebview-1.2.7	com/thefinestartist/finestwebview
firebase-ads-18.3.0	com/google/firebase
firebase-analytics-17.2.1	com/google/firebase
flexible-adapter-5.1.0	eu/davidea
folderpicker-2.4	lib/folderpicker
fresco-2.3.0	com/facebook/drawee/backends/pipeline
fuel-2.1.0	com/github/kittinunf/fuel
fuel-2.2.3	com/github/kittinunf/fuel
fuel-2.3.0	com/github/kittinunf/fuel
fuel-android-2.1.0	com/github/kittinunf/fuel/android/util
fuel-coroutines-2.2.3	com/github/kittinunf/fuel/coroutines
fuzzywuzzy-1.1.9	me/xdrop
gesture-views-2.8.2	com/alexvasilkov/gestures
glide-3.7.0	com/bumptech/glide
glide-3.8.0	com/bumptech/glide
glide-4.10.0	com/bumptech/glide
glide-4.11.0	com/bumptech/glide
glide-4.12.0	com/bumptech/glide
glide-4.8.0	com/bumptech/glide
glide-transformations-4.1.0	jp/wasabeef/glide/transformations
glide-transformations-4.3.0	jp/wasabeef/glide/transformations
GlideImageLoader-1.8.0	com/github/piasy/biv/loader/glide
GlideImageViewFactory-1.8.0	com/github/piasy/biv/view
google-material-typeface-3.0.1.4.original-kotlin	com/mikepenz/iconics/typeface/library/googlematerial
GPUVideo-android-81741413bb	com/daasuu/gpuv
graphview-4.2.2	com/jjoe64/graphview
gravitysnaphelper-2.2.1	com/github/rubensousa/gravitysnaphelper
greendao-2.2.1	de/greenrobot/dao
gson-1.7.1	com/google/gson
gson-2.3.1	com/google/gson
gson-2.5	com/google/gson
gson-2.6.2	com/google/gson
gson-2.8.0	com/google/gson
gson-2.8.2	com/google/gson
gson-2.8.5	com/google/gson
gson-2.8.6	com/google/gson
gson-2.8.7	com/google/gson
guava-24.1-jre	com/google
guava-27.0.1-android	com/google
guava-29.0-android	com/google
guava-30.1-android	com/google
hawk-2.0.1	com/orhanobut/hawk
helper-0.9.5	net/i2p/android
hilt-android-2.28.3-alpha	dagger/hilt/android
hilt-android-2.29-alpha	dagger/hilt/android
hilt-android-2.33-beta	dagger/hilt/android
hilt-android-2.35.1	dagger/hilt/android
hilt-android-2.38.1	dagger/hilt/android
hirondelle-date4j-1.5.1	hirondelle/date4j
html-textview-4.0	org/sufficientlysecure/htmltextview
httpclient-android-4.3.5.1	org/apache/http
httpcore-4.4.11	org/apache/http
hyperlog-0.0.10	com/hypertrack/hyperlog
iconics-core-4.0.1-b01	com/mikepenz/iconics
iconics-core-4.0.2	com/mikepenz/iconics
iconics-views-4.0.1-b01	com/mikepenz/iconics
inquiry-5.0.0	com/afollestad/inquiry
io.noties.markwon.core-4.3.1	io/noties/markwon
io.noties.markwon.core-4.6.2	io/noties/markwon
io.noties.markwon.ext-strikethrough-4.6.2	io/noties/markwon/ext/strikethrough
io.noties.markwon.ext-tables-4.6.2	io/noties/markwon/ext/tables
